"No.","学期","開講","曜日・時限","時間割コード","科目名","担当教員","シラバスURL"
"40","前期","前期","木1","023263-01","保健体育科教育法Ⅲ","山本 浩二","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023263-01_ja_JP.html"
"41","前期","前期","木2","023263-02","保健体育科教育法Ⅲ","山本 浩二","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023263-02_ja_JP.html"
"42","前期","通年","他","023266-01","介護等体験","織部 秀明","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023266-01_ja_JP.html"
"43","前期","前期","金5","023270-01","教職教養Ⅱ","織部 秀明 梅藤 仁志 勢力 麻未 神谷 政和 鈴木 章夫 内木 晃 武藤 洋子 山田 知子 小川 裕之 瀬古 幸弘 内田 直人","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023270-01_ja_JP.html"
"44","前期","前期","金5","023270-51","教職教養Ⅱ","織部 秀明 梅藤 仁志 勢力 麻未 神谷 政和 鈴木 章夫 内木 晃 武藤 洋子 山田 知子 小川 裕之 瀬古 幸弘 内田 直人","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023270-51_ja_JP.html"
"45","前期","前期","他","023271-01","教職プレパレーション","内木 晃 樋口 貴子 梅藤 仁志 織部 秀明 神谷 政和 鈴木 章夫 武藤 洋子 山田 知子 小川 裕之 堀 英太郎 馬場 ひとみ 瀬古 幸弘 内田 直人","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023271-01_ja_JP.html"
"46","前期","前期","木5","023274-01","生徒指導","神谷 政和","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023274-01_ja_JP.html"
"47","前期","通年","他","023275-01","教育実習(栄養教諭)","山田 知子 林 紫","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023275-01_ja_JP.html"
"48","前期","通年","月3","023278-01","教職インターンシップⅡ","梅藤 仁志","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023278-01_ja_JP.html"
"49","前期","通年","水5","023278-02","教職インターンシップⅡ","山田 知子","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023278-02_ja_JP.html"
"50","前期","通年","月2","023278-51","教職インターンシップⅡ","山本 圭子","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023278-51_ja_JP.html"
"51","前期","前期","火4","023279-01","総合的な学習の時間の指導法","鈴木 章夫","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023279-01_ja_JP.html"
"52","前期","前期","火5","023279-02","総合的な学習の時間の指導法","織部 秀明","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023279-02_ja_JP.html"
"53","前期","前期","金1","023279-51","総合的な学習の時間の指導法","鈴木 章夫","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023279-51_ja_JP.html"
"54","前期","前期","火2","023280-01","特別支援と生徒理解","板倉 寿明","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023280-01_ja_JP.html"
"55","前期","前期","火3","023280-02","特別支援と生徒理解","板倉 寿明","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023280-02_ja_JP.html"
"56","前期","前期","木1","023280-03","特別支援と生徒理解","佐藤 賢","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023280-03_ja_JP.html"
"57","前期","前期","他","023280-04","特別支援と生徒理解","佐藤 賢","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023280-04_ja_JP.html"
"58","前期","前期","木5","023282-01","教育とICT活用","内木 晃","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023282-01_ja_JP.html"
"59","前期","前期","木5","023282-02","教育とICT活用","内木 晃","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023282-02_ja_JP.html"
"60","前期","前期","他","023282-03","教育とICT活用","内木 晃","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023282-03_ja_JP.html"
"61","前期","前期","他","023282-04","教育とICT活用","内木 晃","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023282-04_ja_JP.html"
"62","前期","前期","金3","023282-51","教育とICT活用","内木 晃","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023282-51_ja_JP.html"
"63","前期","前期","金3","023282-52","教育とICT活用","内木 晃","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023282-52_ja_JP.html"
"64","前期","前期","水4","023283-01","数学科教育法Ⅰ","山田 知子","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023283-01_ja_JP.html"
"65","前期","前期","金4","023285-01","数学科教育法Ⅲ","小川 裕之","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023285-01_ja_JP.html"
"66","前期","前期","月5","023287-01","教職入門","小川 裕之","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023287-01_ja_JP.html"
"67","前期","前期","火2","023287-02","教職入門","澤田 喜之","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023287-02_ja_JP.html"
"68","前期","前期","火3","023287-03","教職入門","澤田 喜之","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023287-03_ja_JP.html"
"69","前期","前期","木5","023287-04","教職入門","小川 裕之","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023287-04_ja_JP.html"
"70","前期","前期","金2","023287-05","教職入門","武藤 洋子","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023287-05_ja_JP.html"
"71","前期","前期","他","023287-06","教職入門","小川 裕之","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023287-06_ja_JP.html"
"72","前期","前期","火3","023287-07","教職入門","山田 知子","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023287-07_ja_JP.html"
"73","前期","前期","火4","023287-08","教職入門","山田 知子","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023287-08_ja_JP.html"
"74","前期","前期","水4","023287-51","教職入門","澤田 喜之","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023287-51_ja_JP.html"
"75","前期","前期","水5","023287-52","教職入門","澤田 喜之","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023287-52_ja_JP.html"
"76","前期","前期","火4","023290-01","特別活動指導法","市来 ちさ","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023290-01_ja_JP.html"
"77","前期","前期","火5","023290-02","特別活動指導法","鈴木 章夫","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023290-02_ja_JP.html"
"78","前期","前期","木3","023290-03","特別活動指導法","不破 民由","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023290-03_ja_JP.html"
"79","前期","前期","木4","023290-04","特別活動指導法","不破 民由","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023290-04_ja_JP.html"
"80","前期","前期","木5","023290-05","特別活動指導法","不破 民由","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023290-05_ja_JP.html"
"81","前期","前期","金3","023290-06","特別活動指導法","不破 民由","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023290-06_ja_JP.html"
"82","前期","前期","金4","023290-07","特別活動指導法","不破 民由","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023290-07_ja_JP.html"
"83","前期","前期","金1","023290-08","特別活動指導法","市来 ちさ","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023290-08_ja_JP.html"
"84","前期","前期","金2","023290-09","特別活動指導法","市来 ちさ","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023290-09_ja_JP.html"
"85","前期","前期","火2","023291-01","教育方法","楠元 町子","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023291-01_ja_JP.html"
"86","前期","前期","火4","023291-02","教育方法","楠元 町子","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023291-02_ja_JP.html"
"87","前期","前期","水3","023291-03","教育方法","内田 直人","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023291-03_ja_JP.html"
"88","前期","前期","木2","023291-04","教育方法","瀬古 幸弘","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023291-04_ja_JP.html"
"89","前期","前期","他","023291-05","教育方法","瀬古 幸弘","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023291-05_ja_JP.html"
"90","前期","前期","水4","023291-09","教育方法","楠元 町子","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023291-09_ja_JP.html"
"91","前期","前期","水5","023291-10","教育方法","楠元 町子","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023291-10_ja_JP.html"
"92","前期","前期","水1","023291-51","教育方法","鈴木 章夫","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023291-51_ja_JP.html"
"93","前期","前期","火5","023292-01","生徒・進路指導","梅藤 仁志","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023292-01_ja_JP.html"
"94","前期","前期","木3","023292-02","生徒・進路指導","内田 直人","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023292-02_ja_JP.html"
"95","前期","前期","木4","023292-03","生徒・進路指導","山田 知子","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023292-03_ja_JP.html"
"96","前期","前期","木5","023292-04","生徒・進路指導","山田 知子","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023292-04_ja_JP.html"
"97","前期","前期","他","023292-05","生徒・進路指導","梅藤 仁志","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023292-05_ja_JP.html"
"98","前期","前期","金1","023292-51","生徒・進路指導","小川 裕之","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023292-51_ja_JP.html"
"99","前期","前期","金2","023292-52","生徒・進路指導","小川 裕之","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023292-52_ja_JP.html"
"100","前期","通年","月6","023294-01","教職インターンシップⅠ","小川 裕之","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023294-01_ja_JP.html"
"101","前期","通年","火4","023294-02","教職インターンシップⅠ","梅藤 仁志","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023294-02_ja_JP.html"
"102","前期","通年","火5","023294-03","教職インターンシップⅠ","市来 ちさ","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023294-03_ja_JP.html"
"103","前期","通年","水6","023294-04","教職インターンシップⅠ","山田 知子","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023294-04_ja_JP.html"
"104","前期","通年","木1","023294-05","教職インターンシップⅠ","内田 直人","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023294-05_ja_JP.html"
"105","前期","通年","木6","023294-06","教職インターンシップⅠ","小川 裕之","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023294-06_ja_JP.html"
"106","前期","通年","金3","023294-07","教職インターンシップⅠ","瀬古 幸弘","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023294-07_ja_JP.html"
"107","前期","通年","月1","023294-51","教職インターンシップⅠ","山本 圭子","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023294-51_ja_JP.html"
"108","前期","前期","木1","023296-01","情報モラル教育","神田 久恵","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023296-01_ja_JP.html"
"109","前期","前期","火1","025070-01","生涯学習概論","杉本 正博","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_025070-01_ja_JP.html"
"110","前期","前期","火2","025070-02","生涯学習概論","杉本 正博","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_025070-02_ja_JP.html"
"111","前期","前期","月1","025120-01","博物館概論","日比野 光敏","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_025120-01_ja_JP.html"
"112","前期","前期","月2","025120-02","博物館概論","日比野 光敏","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_025120-02_ja_JP.html"
"113","前期","前期","月3","025120-03","博物館概論","日比野 光敏","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_025120-03_ja_JP.html"
"114","前期","前期","水2","025120-51","博物館概論","日比野 光敏","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_025120-51_ja_JP.html"
"115","前期","通年","月1,他","025123-01","博物館実習","土山 公仁","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_025123-01_ja_JP.html"
"116","前期","通年","火4,他","025123-02","博物館実習","日比野 光敏","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_025123-02_ja_JP.html"
"117","前期","通年","火5,他","025123-03","博物館実習","日比野 光敏","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_025123-03_ja_JP.html"
"118","前期","通年","木3,他","025123-04","博物館実習","日比野 光敏","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_025123-04_ja_JP.html"
"119","前期","通年","木4,他","025123-05","博物館実習","日比野 光敏","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_025123-05_ja_JP.html"
"120","前期","通年","金3,他","025123-06","博物館実習","土山 公仁","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_025123-06_ja_JP.html"
"121","前期","通年","金4,他","025123-07","博物館実習","土山 公仁","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_025123-07_ja_JP.html"
"122","前期","通年","木1,他","025123-51","博物館実習","鏡味 千佳","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_025123-51_ja_JP.html"
"123","前期","通年","木2,他","025123-52","博物館実習","鏡味 千佳","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_025123-52_ja_JP.html"
"124","前期","前期","月1","025124-01","博物館資料保存論","岩月 真由子","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_025124-01_ja_JP.html"
"125","前期","前期","金4","025124-51","博物館資料保存論","安藤 香織","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_025124-51_ja_JP.html"
"126","前期","前期","月4","025125-01","博物館展示論","岩月 真由子","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_025125-01_ja_JP.html"
"127","前期","前期","月5","025125-02","博物館展示論","岩月 真由子","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_025125-02_ja_JP.html"
"128","前期","前期","月5","025125-51","博物館展示論","小西 恒典","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_025125-51_ja_JP.html"
"129","前期","前期","月3","025126-01","博物館情報・メディア論","土山 公仁","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_025126-01_ja_JP.html"
"130","前期","前期","金1","025126-02","博物館情報・メディア論","土山 公仁","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_025126-02_ja_JP.html"
"131","前期","前期","水5","026015-01","図書館概論","廣田 慈子","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_026015-01_ja_JP.html"
"132","前期","前期","金1","026015-51","図書館概論","廣田 慈子","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_026015-51_ja_JP.html"
"133","前期","前期","他","026018-01","図書館制度・経営論","豊田 高広","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_026018-01_ja_JP.html"
"134","前期","前期","金5","026020-01","情報サービス概論","廣田 慈子","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_026020-01_ja_JP.html"
"135","前期","前期","木5","026023-01","情報資源組織論","廣田 慈子","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_026023-01_ja_JP.html"
"136","前期","前期","他","026025-01","図書・図書館史","藤野 寛之","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_026025-01_ja_JP.html"
"137","前期","通年","他","026026-01","図書館実習","廣田 慈子","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_026026-01_ja_JP.html"
"138","前期","前期","他","026028-01","図書館情報資源特論","山西 芳幸","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_026028-01_ja_JP.html"
"139","前期","前期","金4","026029-02","情報サービス演習Ⅰ","廣田 慈子","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_026029-02_ja_JP.html"
"140","前期","前期","木4","026030-01","情報サービス演習Ⅱ","廣田 慈子","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_026030-01_ja_JP.html"
"141","前期","前期","他","026031-01","情報資源組織演習Ⅰ","廣田 慈子","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_026031-01_ja_JP.html"
"142","前期","前期","他","026031-02","情報資源組織演習Ⅰ","廣田 慈子","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_026031-02_ja_JP.html"
"143","前期","前期","月3","101145-01","違いを共に生きる・ライフデザイン","鈴木 崇夫 松田 秀子","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_101145-01_ja_JP.html"
"144","前期","前期","月3","101145-02","違いを共に生きる・ライフデザイン","鈴木 崇夫 松田 秀子","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_101145-02_ja_JP.html"
"145","前期","前期","月4","101145-03","違いを共に生きる・ライフデザイン","鈴木 崇夫 村上 泰介","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_101145-03_ja_JP.html"
"146","前期","前期","月4","101145-04","違いを共に生きる・ライフデザイン","鈴木 崇夫 村上 泰介","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_101145-04_ja_JP.html"
"147","前期","前期","月5","101145-05","違いを共に生きる・ライフデザイン","鈴木 崇夫 小川 一美","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_101145-05_ja_JP.html"
"148","前期","前期","月5","101145-06","違いを共に生きる・ライフデザイン","鈴木 崇夫 小川 一美","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_101145-06_ja_JP.html"
