"No.","学期","開講","曜日・時限","時間割コード","科目名","担当教員","シラバスURL"
"1314","前期","前期","木3","030986-01","国文学特殊講義 日本漢文学a","河井 昭乃","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_030986-01_ja_JP.html"
"1315","後期","後期","木3","030987-01","国文学特殊講義 日本漢文学b","河井 昭乃","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_030987-01_ja_JP.html"
"1316","前期","前期","金5","030988-01","キャリアプランニング -国文学科での学びと社会で生きること-","松波 伸浩","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_030988-01_ja_JP.html"
"1317","前期","前期","火5","030989-01","実践国語教育演習Aa","武藤 洋子","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_030989-01_ja_JP.html"
"1318","後期","後期","火5","030991-01","実践国語教育演習Ab","武藤 洋子","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_030991-01_ja_JP.html"
"1319","前期","前期","金3","030992-01","実践国語教育演習Ba","武藤 洋子","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_030992-01_ja_JP.html"
"1320","後期","後期","金3","030993-01","実践国語教育演習Bb","武藤 洋子","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_030993-01_ja_JP.html"
"1321","前期","前期","火3","030994-01","実践国語表現a","内田 直人","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_030994-01_ja_JP.html"
"1322","後期","後期","火3","030995-01","実践国語表現b","内田 直人","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_030995-01_ja_JP.html"
"1323","前期","前期","木3","030996-01","実践国語文法","武藤 洋子","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_030996-01_ja_JP.html"
"1324","後期","後期","木4","030997-01","実践古文読解","武藤 洋子","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_030997-01_ja_JP.html"
"1325","前期","前期","木4","030998-01","実践漢文読解","武藤 洋子","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_030998-01_ja_JP.html"
"1326","後期","後期","金2","030999-01","実践現代文読解","武藤 洋子","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_030999-01_ja_JP.html"
"1327","前期","前期","水2","031041-01","国文学演習Ⅰ(6)近・現代Ⅱa","竹内 瑞穂","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_031041-01_ja_JP.html"
"1328","後期","後期","水2","031042-01","国文学演習Ⅰ(6)近・現代Ⅱb","竹内 瑞穂","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_031042-01_ja_JP.html"
"1329","前期","前期","火4","031135-01","国文学演習Ⅱ(7)近・現代Ⅲa","橋本 あゆみ","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_031135-01_ja_JP.html"
"1330","後期","後期","火4","031136-01","国文学演習Ⅱ(7)近・現代Ⅲb","橋本 あゆみ","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_031136-01_ja_JP.html"
"1331","前期","前期","金2","031171-01","国文学特殊講義 現代短歌a","加藤 孝男","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_031171-01_ja_JP.html"
"1332","後期","後期","金2","031172-01","国文学特殊講義 現代短歌b","加藤 孝男","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_031172-01_ja_JP.html"
"1333","前期","前期","水4","031182-01","作品講読(古典文学)a","内藤 英子","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_031182-01_ja_JP.html"
"1334","後期","後期","水4","031183-01","作品講読(古典文学)b","内藤 英子","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_031183-01_ja_JP.html"
"1335","前期","前期","水3","031201-01","国文学演習Ⅰ(7)近・現代Ⅲa","橋本 あゆみ","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_031201-01_ja_JP.html"
"1336","後期","後期","水3","031202-01","国文学演習Ⅰ(7)近・現代Ⅲb","橋本 あゆみ","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_031202-01_ja_JP.html"
"1337","前期","前期","月5","031311-01","国文学文献講読演習(1)a","中野 謙一","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_031311-01_ja_JP.html"
"1338","後期","後期","月5","031312-01","国文学文献講読演習(1)b","中野 謙一","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_031312-01_ja_JP.html"
"1339","前期","前期","火5","031321-01","国文学文献講読演習(2)a","外山 敦子","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_031321-01_ja_JP.html"
"1340","後期","後期","火5","031322-01","国文学文献講読演習(2)b","外山 敦子","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_031322-01_ja_JP.html"
"1341","前期","前期","月5","031331-01","国文学文献講読演習(3)a","有賀 夏紀","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_031331-01_ja_JP.html"
"1342","後期","後期","月5","031332-01","国文学文献講読演習(3)b","有賀 夏紀","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_031332-01_ja_JP.html"
"1343","前期","前期","水4","031341-01","国文学文献講読演習(4)a","早川 由美","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_031341-01_ja_JP.html"
"1344","後期","後期","水4","031342-01","国文学文献講読演習(4)b","早川 由美","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_031342-01_ja_JP.html"
"1345","前期","前期","月5","031351-01","国文学文献講読演習(5)a","吉田 竜也","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_031351-01_ja_JP.html"
"1346","後期","後期","月5","031352-01","国文学文献講読演習(5)b","吉田 竜也","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_031352-01_ja_JP.html"
"1347","前期","前期","火5","031361-01","国文学文献講読演習(6)a","竹内 瑞穂","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_031361-01_ja_JP.html"
"1348","後期","後期","火5","031362-01","国文学文献講読演習(6)b","竹内 瑞穂","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_031362-01_ja_JP.html"
"1349","前期","前期","火5","031362-02","国文学文献講読演習(6)b","竹内 瑞穂","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_031362-02_ja_JP.html"
"1350","前期","前期","火5","031371-01","国文学文献講読演習(7)a","橋本 あゆみ","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_031371-01_ja_JP.html"
"1351","後期","後期","火5","031372-01","国文学文献講読演習(7)b","橋本 あゆみ","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_031372-01_ja_JP.html"
"1352","前期","前期","火5","031381-01","国語学文献講読演習(1)a","増井 典夫","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_031381-01_ja_JP.html"
"1353","後期","後期","火5","031382-01","国語学文献講読演習(1)b","増井 典夫","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_031382-01_ja_JP.html"
"1354","前期","前期","月5","031383-01","国語学文献講読演習(2)a","吉田 健二","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_031383-01_ja_JP.html"
"1355","後期","後期","月5","031384-01","国語学文献講読演習(2)b","吉田 健二","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_031384-01_ja_JP.html"
"1356","前期","前期","火5","031391-01","中国文学文献講読演習a","中塚 亮","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_031391-01_ja_JP.html"
"1357","後期","後期","水5","031392-01","中国文学文献講読演習b","中塚 亮","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_031392-01_ja_JP.html"
"1358","前期","前期","月2","032987-01","国文学特殊講義 文献学a","日比野 浩信","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_032987-01_ja_JP.html"
"1359","後期","後期","月2","032988-01","国文学特殊講義 文献学b","日比野 浩信","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_032988-01_ja_JP.html"
"1360","前期","前期","金3","032996-01","国文学特殊講義 俳文学a","寺島 徹","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_032996-01_ja_JP.html"
"1361","後期","後期","金3","032997-01","国文学特殊講義 俳文学b","寺島 徹","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_032997-01_ja_JP.html"
"1362","後期","後期","水1","033002-01","古典基礎","外山 敦子","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033002-01_ja_JP.html"
"1363","後期","後期","水2","033002-02","古典基礎","外山 敦子","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033002-02_ja_JP.html"
"1364","後期","後期","木1","033004-01","漢文基礎","住谷 孝之","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033004-01_ja_JP.html"
"1365","後期","後期","木2","033004-02","漢文基礎","住谷 孝之","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033004-02_ja_JP.html"
"1366","前期","前期","金3","033011-01","国文学特殊講義 現代小説a","水川 敬章","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033011-01_ja_JP.html"
"1367","後期","後期","金3","033012-01","国文学特殊講義 現代小説b","水川 敬章","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033012-01_ja_JP.html"
"1368","前期","前期","水2","033013-01","国文学特殊講義 日本芸能史a","深谷 大","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033013-01_ja_JP.html"
"1369","後期","後期","水2","033014-01","国文学特殊講義 日本芸能史b","深谷 大","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033014-01_ja_JP.html"
"1370","前期","前期","水1","033015-01","国文学特殊講義 文学と映像表現a","小倉 斉","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033015-01_ja_JP.html"
"1371","後期","後期","水1","033016-01","国文学特殊講義 文学と映像表現b","小倉 斉","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033016-01_ja_JP.html"
"1372","前期","前期","木3","033017-01","国語学特殊講義 ことばの認知科学a","森本 俊之","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033017-01_ja_JP.html"
"1373","後期","後期","木3","033018-01","国語学特殊講義 ことばの認知科学b","森本 俊之","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033018-01_ja_JP.html"
"1374","前期","前期","月3","033049-01","大学の学び入門-文学と共に生きる-a","中嶋 優隆","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033049-01_ja_JP.html"
"1375","前期","前期","月4","033049-02","大学の学び入門-文学と共に生きる-a","中嶋 優隆","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033049-02_ja_JP.html"
"1376","前期","前期","火1","033049-03","大学の学び入門-文学と共に生きる-a","中嶋 優隆","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033049-03_ja_JP.html"
"1377","前期","前期","火2","033049-04","大学の学び入門-文学と共に生きる-a","中嶋 優隆","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033049-04_ja_JP.html"
"1378","前期","前期","木1","033049-05","大学の学び入門-文学と共に生きる-a","中嶋 優隆","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033049-05_ja_JP.html"
"1379","前期","前期","木2","033049-06","大学の学び入門-文学と共に生きる-a","中嶋 優隆","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033049-06_ja_JP.html"
"1380","前期","前期","金4","033049-07","大学の学び入門-文学と共に生きる-a","中嶋 優隆","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033049-07_ja_JP.html"
"1381","前期","前期","金5","033049-08","大学の学び入門-文学と共に生きる-a","中嶋 優隆","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033049-08_ja_JP.html"
"1382","後期","後期","月3","033050-01","大学の学び入門-文学と共に生きる-b","中嶋 優隆","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033050-01_ja_JP.html"
"1383","後期","後期","月4","033050-02","大学の学び入門-文学と共に生きる-b","中嶋 優隆","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033050-02_ja_JP.html"
"1384","後期","後期","火2","033050-03","大学の学び入門-文学と共に生きる-b","中嶋 優隆","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033050-03_ja_JP.html"
"1385","後期","後期","火3","033050-04","大学の学び入門-文学と共に生きる-b","中嶋 優隆","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033050-04_ja_JP.html"
"1386","後期","後期","火4","033050-05","大学の学び入門-文学と共に生きる-b","中嶋 優隆","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033050-05_ja_JP.html"
"1387","後期","後期","木1","033050-06","大学の学び入門-文学と共に生きる-b","中嶋 優隆","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033050-06_ja_JP.html"
"1388","後期","後期","木2","033050-07","大学の学び入門-文学と共に生きる-b","中嶋 優隆","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033050-07_ja_JP.html"
"1389","後期","後期","金4","033050-08","大学の学び入門-文学と共に生きる-b","中嶋 優隆","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033050-08_ja_JP.html"
"1390","前期","前期","木2","033051-01","くずし字読解a","篗田 将樹","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033051-01_ja_JP.html"
"1391","前期","前期","木3","033051-02","くずし字読解a","松波 伸浩","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033051-02_ja_JP.html"
"1392","前期","前期","木4","033051-03","くずし字読解a","松波 伸浩","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033051-03_ja_JP.html"
"1393","前期","前期","金3","033051-04","くずし字読解a","篗田 将樹","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033051-04_ja_JP.html"
"1394","後期","後期","木2","033052-01","くずし字読解b","篗田 将樹","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033052-01_ja_JP.html"
"1395","後期","後期","木3","033052-02","くずし字読解b","篗田 将樹","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033052-02_ja_JP.html"
"1396","後期","後期","木3","033052-03","くずし字読解b","松波 伸浩","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033052-03_ja_JP.html"
"1397","後期","後期","木4","033052-04","くずし字読解b","松波 伸浩","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033052-04_ja_JP.html"
"1398","前期","前期","月3","033053-01","和歌文学a","日比野 浩信","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033053-01_ja_JP.html"
"1399","後期","後期","月3","033054-01","和歌文学b","日比野 浩信","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033054-01_ja_JP.html"
"1400","前期","前期","金3","033055-01","批評理論","竹内 瑞穂","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033055-01_ja_JP.html"
"1401","後期","後期","金3","033055-02","批評理論","竹内 瑞穂","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033055-02_ja_JP.html"
"1402","前期","前期","木2","033056-01","言語学a","森本 俊之","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033056-01_ja_JP.html"
"1403","後期","後期","木2","033057-01","言語学b","森本 俊之","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033057-01_ja_JP.html"
"1404","後期","後期","金3","033096-01","比較文学","小沢 茂","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033096-01_ja_JP.html"
"1405","前期","前期","木5","033097-01","日本の歴史","中野 謙一","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033097-01_ja_JP.html"
"1406","後期","後期","木5","033097-02","日本の歴史","中野 謙一","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033097-02_ja_JP.html"
"1407","前期","前期","金4","033098-01","文化人類学・神話学","神谷 良法","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033098-01_ja_JP.html"
"1408","後期","後期","金4","033098-02","文化人類学・神話学","神谷 良法","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033098-02_ja_JP.html"
"1409","前期","前期","木2","033099-01","現代中国語(中級程度)","住谷 孝之","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033099-01_ja_JP.html"
"1410","前期","前期","火4","033100-01","児童文学","酒井 晶代","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033100-01_ja_JP.html"
"1411","前期","前期","水2","033101-01","学びなおし古文","内藤 英子","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033101-01_ja_JP.html"
"1412","前期","前期","水3","033101-02","学びなおし古文","内藤 英子","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033101-02_ja_JP.html"
"1413","後期","後期","水3","033101-03","学びなおし古文","内藤 英子","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033101-03_ja_JP.html"
"1414","前期","前期","水3","033102-01","学びなおし漢文","住谷 孝之","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033102-01_ja_JP.html"
"1415","前期","前期","水4","033102-02","学びなおし漢文","住谷 孝之","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033102-02_ja_JP.html"
"1416","後期","後期","水3","033102-03","学びなおし漢文","住谷 孝之","https://cssy.aasa.ac.jp/syllabusHtml/2026/1010/1010_033102-03_ja_JP.html"
"1417","前期","通年","月1,水5","124008-01","介護実践演習","吉田 伸一","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124008-01_ja_JP.html"
"1418","前期","前期","木4","124009-01","専門演習Ⅰa","伊藤 真理","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124009-01_ja_JP.html"
"1419","前期","前期","木4","124009-02","専門演習Ⅰa","海老崎 功","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124009-02_ja_JP.html"
"1420","前期","前期","木4","124009-03","専門演習Ⅰa","加藤 智","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124009-03_ja_JP.html"
"1421","前期","前期","木4","124009-05","専門演習Ⅰa","白石 朝子","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124009-05_ja_JP.html"
"1422","前期","前期","木4","124009-06","専門演習Ⅰa","猶原 秀明","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124009-06_ja_JP.html"
"1423","前期","前期","木4","124009-07","専門演習Ⅰa","中嶋 真弓","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124009-07_ja_JP.html"
"1424","前期","前期","木4","124009-08","専門演習Ⅰa","野井 未加","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124009-08_ja_JP.html"
"1425","前期","前期","木4","124009-09","専門演習Ⅰa","平子 晶規","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124009-09_ja_JP.html"
"1426","前期","前期","木4","124009-10","専門演習Ⅰa","星野 将直","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124009-10_ja_JP.html"
"1427","前期","前期","木4","124009-11","専門演習Ⅰa","松井 千代","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124009-11_ja_JP.html"
"1428","前期","前期","木4","124009-12","専門演習Ⅰa","松田 秀子","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124009-12_ja_JP.html"
"1429","前期","前期","木4","124009-13","専門演習Ⅰa","三和 義武","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124009-13_ja_JP.html"
"1430","前期","前期","木4","124009-14","専門演習Ⅰa","山本 和久","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124009-14_ja_JP.html"
"1431","前期","前期","木4","124009-15","専門演習Ⅰa","吉田 伸一","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124009-15_ja_JP.html"
"1432","前期","前期","木4","124009-16","専門演習Ⅰa","渡辺 かよ子","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124009-16_ja_JP.html"
"1433","後期","後期","木4","124010-01","専門演習Ⅰb","伊藤 真理","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124010-01_ja_JP.html"
"1434","後期","後期","木4","124010-02","専門演習Ⅰb","海老崎 功","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124010-02_ja_JP.html"
"1435","後期","後期","木4","124010-03","専門演習Ⅰb","加藤 智","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124010-03_ja_JP.html"
"1436","後期","後期","木4","124010-04","専門演習Ⅰb","佐藤 実芳","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124010-04_ja_JP.html"
"1437","後期","後期","木4","124010-05","専門演習Ⅰb","白石 朝子","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124010-05_ja_JP.html"
"1438","後期","後期","木4","124010-06","専門演習Ⅰb","猶原 秀明","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124010-06_ja_JP.html"
"1439","後期","後期","木4","124010-07","専門演習Ⅰb","中嶋 真弓","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124010-07_ja_JP.html"
"1440","後期","後期","木4","124010-08","専門演習Ⅰb","野井 未加","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124010-08_ja_JP.html"
"1441","後期","後期","木4","124010-09","専門演習Ⅰb","平子 晶規","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124010-09_ja_JP.html"
"1442","後期","後期","木4","124010-10","専門演習Ⅰb","星野 将直","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124010-10_ja_JP.html"
"1443","後期","後期","木4","124010-11","専門演習Ⅰb","松井 千代","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124010-11_ja_JP.html"
"1444","後期","後期","木4","124010-12","専門演習Ⅰb","松田 秀子","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124010-12_ja_JP.html"
"1445","後期","後期","木4","124010-13","専門演習Ⅰb","三和 義武","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124010-13_ja_JP.html"
"1446","後期","後期","木4","124010-14","専門演習Ⅰb","山本 和久","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124010-14_ja_JP.html"
"1447","後期","後期","木4","124010-15","専門演習Ⅰb","吉田 伸一","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124010-15_ja_JP.html"
"1448","後期","後期","木4","124010-16","専門演習Ⅰb","渡辺 かよ子","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124010-16_ja_JP.html"
"1449","前期","前期","木5","124011-02","専門演習Ⅱa","海老崎 功","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124011-02_ja_JP.html"
"1450","前期","前期","木5","124011-03","専門演習Ⅱa","加藤 智","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124011-03_ja_JP.html"
"1451","前期","前期","木5","124011-04","専門演習Ⅱa","佐藤 実芳","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124011-04_ja_JP.html"
"1452","前期","前期","木5","124011-05","専門演習Ⅱa","白石 朝子","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124011-05_ja_JP.html"
"1453","前期","前期","木5","124011-06","専門演習Ⅱa","猶原 秀明","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124011-06_ja_JP.html"
"1454","前期","前期","木5","124011-07","専門演習Ⅱa","中嶋 真弓","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124011-07_ja_JP.html"
"1455","前期","前期","木5","124011-08","専門演習Ⅱa","野井 未加","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124011-08_ja_JP.html"
"1456","前期","前期","木5","124011-09","専門演習Ⅱa","平子 晶規","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124011-09_ja_JP.html"
"1457","前期","前期","木5","124011-10","専門演習Ⅱa","星野 将直","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124011-10_ja_JP.html"
"1458","前期","前期","木5","124011-11","専門演習Ⅱa","松井 千代","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124011-11_ja_JP.html"
"1459","前期","前期","木5","124011-12","専門演習Ⅱa","松田 秀子","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124011-12_ja_JP.html"
"1460","前期","前期","木5","124011-13","専門演習Ⅱa","三和 義武","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124011-13_ja_JP.html"
"1461","前期","前期","木5","124011-14","専門演習Ⅱa","山本 和久","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124011-14_ja_JP.html"
"1462","前期","前期","木5","124011-15","専門演習Ⅱa","吉田 伸一","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124011-15_ja_JP.html"
"1463","前期","前期","木5","124011-16","専門演習Ⅱa","渡辺 かよ子","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124011-16_ja_JP.html"
"1464","後期","後期","木5","124012-01","専門演習Ⅱb","伊藤 真理","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124012-01_ja_JP.html"
"1465","後期","後期","木5","124012-02","専門演習Ⅱb","海老崎 功","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124012-02_ja_JP.html"
"1466","後期","後期","木5","124012-03","専門演習Ⅱb","加藤 智","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124012-03_ja_JP.html"
"1467","後期","後期","木5","124012-04","専門演習Ⅱb","佐藤 実芳","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124012-04_ja_JP.html"
"1468","後期","後期","木5","124012-05","専門演習Ⅱb","白石 朝子","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124012-05_ja_JP.html"
"1469","後期","後期","木5","124012-06","専門演習Ⅱb","猶原 秀明","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124012-06_ja_JP.html"
"1470","後期","後期","木5","124012-07","専門演習Ⅱb","中嶋 真弓","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124012-07_ja_JP.html"
"1471","後期","後期","木5","124012-08","専門演習Ⅱb","野井 未加","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124012-08_ja_JP.html"
"1472","後期","後期","木5","124012-09","専門演習Ⅱb","平子 晶規","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124012-09_ja_JP.html"
"1473","後期","後期","木5","124012-10","専門演習Ⅱb","星野 将直","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124012-10_ja_JP.html"
"1474","後期","後期","木5","124012-11","専門演習Ⅱb","松井 千代","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124012-11_ja_JP.html"
"1475","後期","後期","木5","124012-12","専門演習Ⅱb","松田 秀子","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124012-12_ja_JP.html"
"1476","後期","後期","木5","124012-13","専門演習Ⅱb","三和 義武","https://cssy.aasa.ac.jp/syllabusHtml/2026/1050/1050_124012-13_ja_JP.html"
